cohort	platform	probe_id	matched_field	matched_value
GSE17536	GPL570	205945_at	Gene Symbol	IL6R
GSE17536	GPL570	217489_s_at	Gene Symbol	IL6R
GSE17536	GPL570	226333_at	Gene Symbol	IL6R
GSE17537	GPL570	205945_at	Gene Symbol	IL6R
GSE17537	GPL570	217489_s_at	Gene Symbol	IL6R
GSE17537	GPL570	226333_at	Gene Symbol	IL6R
GSE14333	GPL570	205945_at	Gene Symbol	IL6R
GSE14333	GPL570	217489_s_at	Gene Symbol	IL6R
GSE14333	GPL570	226333_at	Gene Symbol	IL6R
