cohort	sample_id	platform	primary_probe	il6r_primary	il6r_probe_mean	inferred_group
GSE17536	GSM437154	GPL570	205945_at	6.49931999	6.20911848566667	normal_or_adjacent
GSE17536	GSM437155	GPL570	205945_at	7.08799392	6.62944683333333	normal_or_adjacent
GSE17536	GSM437156	GPL570	205945_at	6.926037	6.54228631033333	normal_or_adjacent
GSE17536	GSM437157	GPL570	205945_at	6.952329911	6.66700493233333	normal_or_adjacent
GSE17536	GSM437158	GPL570	205945_at	7.477598406	6.92341614033333	normal_or_adjacent
GSE17536	GSM437159	GPL570	205945_at	6.611306743	6.28512421633333	normal_or_adjacent
GSE17536	GSM437160	GPL570	205945_at	6.643802591	6.225705936	normal_or_adjacent
GSE17536	GSM437161	GPL570	205945_at	7.371251192	6.96378484866667	normal_or_adjacent
GSE17536	GSM437162	GPL570	205945_at	6.614412401	6.47306691033333	normal_or_adjacent
GSE17536	GSM437163	GPL570	205945_at	6.739978236	6.37409613733333	normal_or_adjacent
GSE17536	GSM437164	GPL570	205945_at	5.788088747	5.56840155433333	normal_or_adjacent
GSE17536	GSM437165	GPL570	205945_at	6.300082372	6.14548068066667	normal_or_adjacent
GSE17536	GSM437166	GPL570	205945_at	7.294809168	6.75761244566667	normal_or_adjacent
GSE17536	GSM437167	GPL570	205945_at	6.639361964	6.235753304	normal_or_adjacent
GSE17536	GSM437168	GPL570	205945_at	5.58212167	5.39627476466667	normal_or_adjacent
GSE17536	GSM437169	GPL570	205945_at	5.486466621	5.565573753	normal_or_adjacent
GSE17536	GSM437170	GPL570	205945_at	6.463305092	6.154444049	normal_or_adjacent
GSE17536	GSM437171	GPL570	205945_at	6.958333095	6.493130539	normal_or_adjacent
GSE17536	GSM437172	GPL570	205945_at	5.907706102	5.718748601	normal_or_adjacent
GSE17536	GSM437173	GPL570	205945_at	7.048731971	6.443128467	normal_or_adjacent
GSE17536	GSM437174	GPL570	205945_at	6.066905748	5.80628709	normal_or_adjacent
GSE17536	GSM437175	GPL570	205945_at	7.436363638	6.62969633066667	normal_or_adjacent
GSE17536	GSM437176	GPL570	205945_at	7.03610331	6.417160348	normal_or_adjacent
GSE17536	GSM437177	GPL570	205945_at	7.27315996	6.63045376566667	normal_or_adjacent
GSE17536	GSM437178	GPL570	205945_at	6.554277854	6.30112603733333	normal_or_adjacent
GSE17536	GSM437179	GPL570	205945_at	6.600435927	6.26133272966667	normal_or_adjacent
GSE17536	GSM437180	GPL570	205945_at	7.0778507	6.57690503966667	normal_or_adjacent
GSE17536	GSM437181	GPL570	205945_at	7.644853352	7.02057178066667	normal_or_adjacent
GSE17536	GSM437182	GPL570	205945_at	6.355277509	5.87496395133333	normal_or_adjacent
GSE17536	GSM437183	GPL570	205945_at	6.434251098	6.14085121666667	normal_or_adjacent
GSE17536	GSM437184	GPL570	205945_at	6.664191109	6.14615806666667	normal_or_adjacent
GSE17536	GSM437185	GPL570	205945_at	6.479181893	6.36009711566667	normal_or_adjacent
GSE17536	GSM437186	GPL570	205945_at	5.973857641	5.85154123666667	normal_or_adjacent
GSE17536	GSM437187	GPL570	205945_at	7.649728893	6.965699159	normal_or_adjacent
