cohort	probe_id	n	mean	sd	median
GSE17536	205945_at	177	6.687909396898306	0.5427249347828601	6.649365632
GSE17536	217489_s_at	177	5.103918980864407	0.18492735308596037	5.073647385
GSE17536	226333_at	177	7.108029476864407	0.5718823128646019	7.139361347
GSE17537	205945_at	55	6.317486937999999	0.8665023606029969	6.195816931
GSE17537	217489_s_at	55	4.561752420672727	0.25387373558822457	4.522179071
GSE17537	226333_at	55	6.736913022436364	0.8443081064171563	6.687013747
GSE14333	205945_at	290	6.1664330057379315	0.7501898361579318	6.200398312500001
GSE14333	217489_s_at	290	3.0305273968413795	1.222620661120076	2.9077565964999996
GSE14333	226333_at	290	6.60607544182069	0.770312017709189	6.650768834
