Global_Cluster	n_cells	pct_IL6R_positive	mean_IL6R	median_IL6_axis	mean_IL6_axis
B cell	9791	3.3908691655602086	0.051607794386422	-0.179113317451231	-0.1537769823946783
CD4 T cell	11028	9.920203119332607	0.19703027904266	0.0196646927543138	0.06317620292049995
CD8 T cell	8527	0.3049138032133224	0.005278733783198347	-0.0940282992088202	-0.1156468748886926
ILC	1846	0.27085590465872156	0.004824323531628851	-0.04724747213832445	-0.08814790630166157
Myeloid cell	12625	13.67920792079208	0.26644511119681663	-0.132332423586639	-0.10473102112864219
