"version","generated_at","figure","category","purpose","original_path","original_relative_path","status","note"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v30_1_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30_1\05_manifests","4_figures_submission_v30_1\05_manifests","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v30_1_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30_1\04_source_tables","4_figures_submission_v30_1\04_source_tables","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v30_3_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30_3\03_legends","4_figures_submission_v30_3\03_legends","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v30_3_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30_3\01_main_figures","4_figures_submission_v30_3\01_main_figures","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v30_3_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30_3\05_manifests","4_figures_submission_v30_3\05_manifests","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v30_3_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30_3\04_source_tables","4_figures_submission_v30_3\04_source_tables","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v30_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30\03_legends","4_figures_submission_v30\03_legends","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v30_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30\01_main_figures","4_figures_submission_v30\01_main_figures","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v30_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30\05_manifests","4_figures_submission_v30\05_manifests","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v30_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v30\04_source_tables","4_figures_submission_v30\04_source_tables","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v32_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v32\03_legends","4_figures_submission_v32\03_legends","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v32_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v32\01_main_figures","4_figures_submission_v32\01_main_figures","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v32_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v32\05_manifests","4_figures_submission_v32\05_manifests","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v32_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v32\04_source_tables","4_figures_submission_v32\04_source_tables","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v33_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v33\03_legends","4_figures_submission_v33\03_legends","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v33_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v33\01_main_figures","4_figures_submission_v33\01_main_figures","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v33_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v33\05_manifests","4_figures_submission_v33\05_manifests","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v33_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v33\04_source_tables","4_figures_submission_v33\04_source_tables","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v34_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v34\03_legends","4_figures_submission_v34\03_legends","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v34_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v34\01_main_figures","4_figures_submission_v34\01_main_figures","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v34_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v34\05_manifests","4_figures_submission_v34\05_manifests","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v34_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v34\04_source_tables","4_figures_submission_v34\04_source_tables","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v35_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v35\03_legends","4_figures_submission_v35\03_legends","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v35_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v35\01_main_figures","4_figures_submission_v35\01_main_figures","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v35_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v35\05_manifests","4_figures_submission_v35\05_manifests","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v35_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v35\04_source_tables","4_figures_submission_v35\04_source_tables","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v36_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v36\03_legends","4_figures_submission_v36\03_legends","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v36_main_figures","Fallback or previous best figure outputs","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v36\01_main_figures","4_figures_submission_v36\01_main_figures","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v36_manifests","Fallback or previous best manifests","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v36\05_manifests","4_figures_submission_v36\05_manifests","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v36_source_tables","Fallback or previous best source tables","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v36\04_source_tables","4_figures_submission_v36\04_source_tables","missing","Directory not found for pattern *Figure*2*.*"
"v37.4_traceability_repair_after_empty_v37_3","2026-05-16T07:15:56","Figure_2","fallback_v37_1_legends","Fallback or previous best legends","D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4\4_figures_submission_v37_1\03_legends","4_figures_submission_v37_1\03_legends","missing","Directory not found for pattern *Figure*2*.*"
