figure	original_path	fixed_path	size_bytes	sha256	status	generated_at
Figure_6	D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4/4_figures_submission_v39_2/01_main_figures/Figure_6_scRNA_TSV_redraw_no_overlap_v39_2_20260516_171508.pdf	D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4/7_Output/v39_2_figure_hotfix_traceability/fixed_outputs/Figure_6/Figure_6_scRNA_TSV_redraw_no_overlap_v39_2_20260516_171508.pdf	991981	49c38180a95fc54d18fef9ef9d749a45	copied	2026-05-16 17:15:13.930705
Figure_6	D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4/4_figures_submission_v39_2/01_main_figures/Figure_6_scRNA_TSV_redraw_no_overlap_v39_2_20260516_171508.png	D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4/7_Output/v39_2_figure_hotfix_traceability/fixed_outputs/Figure_6/Figure_6_scRNA_TSV_redraw_no_overlap_v39_2_20260516_171508.png	3202328	4748af23a5d3f4b73d11d354d15cd834	copied	2026-05-16 17:15:13.930705
Figure_6	D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4/4_figures_submission_v39_2/01_main_figures/Figure_6_scRNA_TSV_redraw_no_overlap_v39_2_20260516_171508.svg	D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4/7_Output/v39_2_figure_hotfix_traceability/fixed_outputs/Figure_6/Figure_6_scRNA_TSV_redraw_no_overlap_v39_2_20260516_171508.svg	3768951	9a8f59e5547d1aa00566510214fe6b7f	copied	2026-05-16 17:15:13.930705
Figure_6	D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4/4_figures_submission_v39_2/04_source_tables/Figure_6_sources_used_v39_2_20260516_171513.tsv	D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4/7_Output/v39_2_figure_hotfix_traceability/fixed_outputs/Figure_6/Figure_6_sources_used_v39_2_20260516_171513.tsv	1497	7bcca9ad380deb858e32c656bbfecc9a	copied	2026-05-16 17:15:13.930705
Figure_6	D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4/4_figures_submission_v39_2/03_legends/Figure_6_legend_v39_2_20260516_171513.md	D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4/7_Output/v39_2_figure_hotfix_traceability/fixed_outputs/Figure_6/Figure_6_legend_v39_2_20260516_171513.md	332	c12361a2969ea7bbc49bc41723b797ec	copied	2026-05-16 17:15:13.930705
Figure_6	D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4/4_figures_submission_v39_2/05_manifests/Figure_6_manifest_v39_2_20260516_171513.tsv	D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4/7_Output/v39_2_figure_hotfix_traceability/fixed_outputs/Figure_6/Figure_6_manifest_v39_2_20260516_171513.tsv	999	445f41571b2e2e9176afc3f86ecfac40	copied	2026-05-16 17:15:13.930705
Figure_6	D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4/7_Output/v39_2_figure_hotfix_traceability/source_registry/Figure_6_v39_2_source_files_registry_20260516_171513.tsv	D:\SCI2\MD-1\MR_IL6R_CRC_project_template_v4/7_Output/v39_2_figure_hotfix_traceability/fixed_outputs/Figure_6/Figure_6_v39_2_source_files_registry_20260516_171513.tsv	2897	f266f4cc371b3abfe071a76593d7f63a	copied	2026-05-16 17:15:13.930705
